school_name,classification,year,event,n_qualifiers,best_mark,avg_top3_mark
Aberdeen,2A,2015,1600m,1,268.04,
Adna,2B,2015,100m,1,12.46,
Adna,2B,2015,200m,1,25.82,
Almira C-H,1B,2015,100m,1,13.81,
Almira C-H,1B,2015,800m,1,143.23,
Anacortes,2A,2015,1600m,2,257.5,
Anacortes,2A,2015,3200m,2,561.29,
Anacortes,2A,2015,800m,1,138.14,
Archbishop Murphy,2A,2015,200m,1,22.54,
Arlington,3A,2015,1600m,1,259.26,
Arlington,3A,2015,3200m,1,556.04,
Asotin,2B,2015,1600m,3,261.19,285.46666666666664
Asotin,2B,2015,3200m,3,579.77,626.0233333333334
Auburn,3A,2015,100m,1,11.22,
Auburn Mountainview,3A,2015,1600m,1,260.21,
Auburn Mountainview,3A,2015,3200m,1,568.27,
Auburn Riverside,3A,2015,3200m,1,590.88,
Auburn Riverside,3A,2015,4x100,1,49.78,
Bainbridge,3A,2015,4x400,1,240.55,
Bainbridge,3A,2015,800m,1,135.44,
Ballard,3A,2015,1600m,1,267.58,
Ballard,3A,2015,3200m,2,616.66,
Ballard,3A,2015,800m,1,114.56,
Bellarmine Prep,4A,2015,1600m,2,252.14,
Bellarmine Prep,4A,2015,3200m,2,539.94,
Bellevue,3A,2015,1600m,1,318.82,
Bellevue,3A,2015,200m,1,22.5,
Bellevue,3A,2015,4x100,1,42.7,
Bellevue,3A,2015,4x400,2,202.69,
Bellevue Christian,1A,2015,1600m,1,359.65,
Bellevue Christian,1A,2015,3200m,2,641.92,
Bellingham,2A,2015,100m,1,12.97,
Bellingham,2A,2015,3200m,1,721.73,
Bellingham,2A,2015,4x100,2,43.28,
Bellingham,2A,2015,4x400,1,241.51,
Bickleton,1B,2015,100m,2,13.74,
Bickleton,1B,2015,1600m,1,286.97,
Bickleton,1B,2015,3200m,1,619.79,
Bickleton,1B,2015,4x400,1,223.39,
Black Hills,2A,2015,100m,1,11.41,
Blaine,2A,2015,800m,1,139.04,
Bonney Lake,3A,2015,1600m,1,266.99,
Bonney Lake,3A,2015,4x400,1,203.87,
Bonney Lake,3A,2015,800m,1,113.8,
Bothell,4A,2015,100m,1,12.28,
Bothell,4A,2015,1600m,1,264.68,
Bothell,4A,2015,200m,2,22.61,
Bothell,4A,2015,3200m,1,557.33,
Bothell,4A,2015,4x100,1,42.39,
Bremerton,2A,2015,100m,1,12.73,
Brewster,2B,2015,800m,1,150.76,
Bridgeport,2B,2015,1600m,1,276.97,
Bridgeport,2B,2015,3200m,2,602.29,
Burlington-Edison,2A,2015,1600m,1,264.29,
Burlington-Edison,2A,2015,3200m,1,582.64,
Burlington-Edison,2A,2015,4x400,1,254.55,
Camas,4A,2015,1600m,1,301.05,
Camas,4A,2015,3200m,3,561.75,621.3166666666667
Camas,4A,2015,4x100,1,43.43,
Camas,4A,2015,4x400,1,202.61,
Camas,4A,2015,800m,1,115.46000000000001,
Capital,3A,2015,100m,1,11.3,
Capital,3A,2015,1600m,1,315.6,
Capital,3A,2015,3200m,2,676.73,
Cascade Christian (Puyallup),1A,2015,4x100,1,8.0,
Cascade Christian (Puyallup),1A,2015,4x400,1,248.23,
Cascade-Leavenworth,1A,2015,100m,1,11.53,
Cascade-Leavenworth,1A,2015,1600m,1,321.56,
Cascade-Leavenworth,1A,2015,200m,1,23.09,
Cascade-Leavenworth,1A,2015,3200m,1,667.61,
Cascade-Leavenworth,1A,2015,4x100,1,50.24,
Cashmere,1A,2015,4x400,1,255.69,
Cedar P. Ch./Bo.,1A,2015,100m,2,11.4,
Cedar P. Ch./Bo.,1A,2015,1600m,1,274.04,
Cedar P. Ch./Bo.,1A,2015,200m,2,22.39,
Cedar P. Ch./Bo.,1A,2015,3200m,1,612.99,
Cedar Park Chr./Bothell,1A,2015,4x100,2,43.93,
Cedar Park Chr./Bothell,1A,2015,4x400,1,208.04,
Central Kitsap,3A,2015,100m,1,12.44,
Central Kitsap,3A,2015,1600m,2,260.51,
Central Kitsap,3A,2015,200m,1,25.31,
Central Kitsap,3A,2015,3200m,1,679.59,
Central Kitsap,3A,2015,4x100,1,49.66,
Central Kitsap,3A,2015,4x400,1,249.49,
Central Kitsap,3A,2015,800m,1,113.81,
Central Valley,4A,2015,1600m,2,255.01,
Central Valley,4A,2015,200m,1,25.39,
Central Valley,4A,2015,3200m,1,558.56,
Central Valley,4A,2015,4x100,1,49.21,
Central Valley,4A,2015,4x400,1,238.31,
Central Valley,4A,2015,800m,2,134.26,
Centralia,2A,2015,200m,1,22.69,
Chelan,1A,2015,1600m,1,286.52,
Chelan,1A,2015,3200m,1,620.48,
Cheney,2A,2015,4x100,1,50.15,
Cheney,2A,2015,800m,1,116.65,
Chiawana,4A,2015,100m,1,11.03,
Chiawana,4A,2015,200m,1,22.16,
Chief Sealth,3A,2015,4x100,1,49.79,
Christian Faith,1B,2015,100m,1,12.1,
Christian Faith,1B,2015,4x400,1,219.52,
Clallam Bay,1B,2015,1600m,1,386.42,
Clallam Bay,1B,2015,3200m,1,839.12,
Clallam Bay,1B,2015,4x100,1,55.17,
Clallam Bay,1B,2015,4x400,1,270.78,
Clarkston,2A,2015,800m,1,144.36,
Colfax,2B,2015,200m,1,26.52,
Colfax,2B,2015,4x100,1,52.79,
Colfax,2B,2015,4x400,1,254.46,
College Place,2B,2015,1600m,1,271.53,
College Place,2B,2015,800m,1,122.79,
Columbia (Hunters),1B,2015,3200m,1,711.77,
Columbia River,3A,2015,1600m,1,271.17,
Columbia River,3A,2015,3200m,1,575.67,
Columbia River,3A,2015,4x100,2,43.43,
Columbia-Burbank,1A,2015,800m,1,122.47,
Crescent,1B,2015,1600m,2,285.73,
Crescent,1B,2015,3200m,1,653.19,
Crescent,1B,2015,800m,1,127.03,
Crosspoint Academy,1B,2015,1600m,3,290.92,347.03333333333336
Crosspoint Academy,1B,2015,200m,1,28.13,
Crosspoint Academy,1B,2015,3200m,4,636.68,696.04
Crosspoint Academy,1B,2015,800m,1,127.3,
Curlew,1B,2015,1600m,1,286.21,
Curlew,1B,2015,3200m,1,645.97,
Curlew,1B,2015,800m,1,145.63,
Curtis,4A,2015,200m,1,22.45,
Curtis,4A,2015,3200m,1,726.28,
Curtis,4A,2015,4x100,1,49.02,
Cusick,1B,2015,100m,1,12.99,
Cusick,1B,2015,1600m,1,343.89,
Cusick,1B,2015,200m,1,26.55,
Cusick,1B,2015,4x100,1,55.12,
Cusick,1B,2015,4x400,1,264.5,
Dayton,2B,2015,100m,1,13.14,
DeSales,2B,2015,4x400,1,216.57999999999998,
Decatur,4A,2015,4x400,1,204.28,
Deer Park,1A,2015,1600m,1,311.16,
Deer Park,1A,2015,3200m,1,677.51,
Deer Park,1A,2015,4x100,1,50.57,
East Valley-Spokane,2A,2015,1600m,3,252.36,269.07666666666665
East Valley-Spokane,2A,2015,3200m,3,548.64,589.5866666666666
Eastlake,4A,2015,1600m,1,257.47,
Eastlake,4A,2015,3200m,1,683.33,
Eastlake,4A,2015,4x400,1,203.74,
Eastlake,4A,2015,800m,2,113.63,
Eastmont,4A,2015,100m,1,10.8,
Eastmont,4A,2015,200m,1,21.78,
Eastmont,4A,2015,3200m,2,598.34,
Eastmont,4A,2015,4x100,1,42.58,
Eastmont,4A,2015,4x400,1,201.14,
Eatonville,1A,2015,1600m,1,287.23,
Eatonville,1A,2015,3200m,3,652.48,723.8466666666667
Eatonville,1A,2015,4x100,2,44.49,
Eatonville,1A,2015,4x400,1,210.94,
Edmonds-Woodway,3A,2015,1600m,1,258.91,
Edmonds-Woodway,3A,2015,3200m,2,552.62,
Edmonds-Woodway,3A,2015,4x100,1,50.61,
Eisenhower,4A,2015,1600m,1,265.21,
Eisenhower,4A,2015,3200m,2,567.43,
Elma,1A,2015,1600m,1,279.14,
Elma,1A,2015,3200m,1,614.22,
Emerald Ridge,4A,2015,1600m,1,268.33,
Emerald Ridge,4A,2015,3200m,1,571.2,
Entiat,1B,2015,1600m,2,418.15999999999997,
Entiat,1B,2015,200m,1,29.0,
Entiat,1B,2015,3200m,2,940.4,
Entiat,1B,2015,4x100,1,56.03,
Entiat,1B,2015,4x400,1,259.67,
Entiat,1B,2015,800m,1,161.56,
Enumclaw,3A,2015,3200m,1,731.06,
Enumclaw,3A,2015,4x400,1,238.59,
Ephrata,2A,2015,1600m,1,325.77,
Ephrata,2A,2015,3200m,2,588.18,
Evergreen Lutheran,1B,2015,1600m,2,294.06,
Evergreen Lutheran,1B,2015,3200m,2,640.46,
Evergreen Lutheran,1B,2015,4x100,1,45.89,
Evergreen Lutheran,1B,2015,4x400,2,227.31,
Evergreen Lutheran,1B,2015,800m,1,145.89,
Evergreen-Seattle,2A,2015,1600m,2,271.3,
Evergreen-Seattle,2A,2015,3200m,3,579.89,620.37
Federal Way,4A,2015,100m,1,12.45,
Federal Way,4A,2015,200m,1,25.6,
Ferndale,3A,2015,200m,1,22.85,
Fife,2A,2015,200m,1,26.43,
Fife,2A,2015,4x100,1,49.76,
Firm Found. Chr.,1B,2015,1600m,2,328.09,
Forks,1A,2015,1600m,2,281.58,
Franklin,3A,2015,1600m,1,265.77,
Franklin Pierce,2A,2015,1600m,2,263.83,
Franklin Pierce,2A,2015,800m,2,118.57,
Freeman,1A,2015,4x400,1,248.46,
Garfield,3A,2015,100m,1,11.06,
Garfield,3A,2015,1600m,1,295.90999999999997,
Garfield,3A,2015,200m,2,22.31,
Garfield,3A,2015,800m,1,130.66,
Gig Harbor,4A,2015,1600m,1,295.39,
Gig Harbor,4A,2015,3200m,3,561.42,592.1233333333333
Glacier Peak,3A,2015,1600m,1,317.36,
Glacier Peak,3A,2015,3200m,1,669.35,
Glacier Peak,3A,2015,4x400,1,204.49,
Glacier Peak,3A,2015,800m,1,136.23,
Goldendale,1A,2015,3200m,1,621.12,
Grace Academy,1B,2015,100m,1,11.99,
Grace Academy,1B,2015,1600m,1,449.56,
Grace Academy,1B,2015,200m,1,24.16,
Grace Academy,1B,2015,4x100,1,45.97,
Grace Academy,1B,2015,4x400,1,225.53,
Graham-Kapowsin,4A,2015,100m,1,11.07,
Graham-Kapowsin,4A,2015,200m,1,22.55,
Graham-Kapowsin,4A,2015,4x100,1,41.75,
Hanford,3A,2015,100m,1,11.17,
Hanford,3A,2015,3200m,1,703.23,
Hanford,3A,2015,4x100,1,43.47,
Hazen,3A,2015,1600m,1,332.58,
Hazen,3A,2015,800m,1,115.4,
Henry Foss,3A,2015,4x400,1,204.51,
Henry Jackson,4A,2015,1600m,1,256.85,
Henry Jackson,4A,2015,3200m,2,550.42,
Henry Jackson,4A,2015,800m,1,115.9,
Heritage,4A,2015,100m,1,12.31,
Highland,1A,2015,1600m,1,271.79,
Highland,1A,2015,3200m,1,616.37,
Holy Names Academy,3A,2015,100m,1,12.44,
Holy Names Academy,3A,2015,1600m,2,287.11,
Holy Names Academy,3A,2015,200m,1,25.29,
Holy Names Academy,3A,2015,3200m,1,634.51,
Holy Names Academy,3A,2015,4x400,1,245.05,
Holy Names Academy,3A,2015,800m,1,130.45,
Hoquiam,1A,2015,100m,1,13.1,
Hoquiam,1A,2015,200m,1,26.05,
Hoquiam,1A,2015,4x100,2,44.02,
Ilwaco,2B,2015,100m,1,13.16,
Ilwaco,2B,2015,1600m,1,341.76,
Ilwaco,2B,2015,200m,1,27.12,
Ilwaco,2B,2015,4x100,1,52.44,
Ilwaco,2B,2015,4x400,2,212.22,
Inglemoor,4A,2015,3200m,1,552.93,
Inglemoor,4A,2015,4x400,1,202.43,
Ingraham,3A,2015,1600m,1,256.98,
Ingraham,3A,2015,3200m,1,557.03,
Interlake,3A,2015,1600m,1,277.04,
Interlake,3A,2015,3200m,1,601.77,
Issaquah,4A,2015,100m,1,12.33,
Issaquah,4A,2015,1600m,1,295.27,
Issaquah,4A,2015,3200m,1,663.91,
Issaquah,4A,2015,4x100,1,48.75,
Issaquah,4A,2015,4x400,1,10.0,
Issaquah,4A,2015,800m,1,132.72,
Joel Ferris,4A,2015,100m,1,10.96,
Joel Ferris,4A,2015,800m,1,113.91,
Juanita,3A,2015,200m,1,22.46,
Juanita,3A,2015,3200m,1,709.82,
Juanita,3A,2015,4x100,1,42.8,
Juanita,3A,2015,4x400,1,205.42000000000002,
Kalama,1A,2015,1600m,1,280.89,
Kalama,1A,2015,3200m,1,634.69,
Kamiakin,3A,2015,100m,1,12.51,
Kamiakin,3A,2015,4x100,1,48.57,
Kennedy Catholic,3A,2015,100m,1,12.29,
Kennedy Catholic,3A,2015,200m,1,25.27,
Kent Meridian,4A,2015,4x100,1,48.85,
Kentridge,4A,2015,4x100,1,43.07,
Kentwood,4A,2015,100m,2,11.09,
Kentwood,4A,2015,200m,1,22.6,
Kentwood,4A,2015,4x100,2,41.84,
King's,1A,2015,100m,2,11.45,
King's,1A,2015,1600m,1,264.41,
King's,1A,2015,200m,2,22.81,
King's,1A,2015,4x100,2,43.69,
King's,1A,2015,4x400,1,10.0,
King's,1A,2015,800m,3,116.18,126.98333333333335
King's Way Chr.,1A,2015,200m,1,26.51,
Kingston,2A,2015,4x400,1,210.16,
Kiona-Benton,1A,2015,1600m,1,281.82,
Kittitas,2B,2015,4x100,1,45.13,
Klahowya,1A,2015,1600m,1,263.32,
Klahowya,1A,2015,3200m,1,767.37,
Klahowya,1A,2015,800m,1,116.39,
La Center,1A,2015,100m,1,11.76,
La Center,1A,2015,200m,1,23.68,
La Conner,2B,2015,100m,1,13.23,
La Conner,2B,2015,1600m,2,306.01,
La Conner,2B,2015,200m,1,27.6,
La Conner,2B,2015,3200m,2,677.91,
La Conner,2B,2015,4x100,2,46.4,
La Salle,1A,2015,100m,1,12.88,
La Salle,1A,2015,1600m,1,291.64,
La Salle,1A,2015,200m,1,26.1,
La Salle,1A,2015,3200m,1,628.37,
Lake Stevens,4A,2015,800m,1,114.58,
Lakeside,1A,2015,1600m,1,320.84,
Lakeside,1A,2015,3200m,1,705.82,
Lakeside,1A,2015,4x100,1,51.12,
Lakeside,1A,2015,4x400,1,211.94,
Lakeside,1A,2015,800m,1,143.8,
Lakeside,3A,2015,1600m,2,297.31,
Lakeside,3A,2015,3200m,1,644.19,
Lakeside,3A,2015,800m,1,131.98,
Lakewood,2A,2015,100m,1,11.18,
Lakewood,2A,2015,1600m,1,264.41,
Lakewood,2A,2015,200m,1,22.61,
Lakewood,2A,2015,3200m,1,569.84,
Lakewood,2A,2015,4x100,1,43.24,
Lakewood,2A,2015,800m,1,141.34,
Lewis and Clark,4A,2015,100m,1,12.13,
Lewis and Clark,4A,2015,200m,1,25.2,
Lewis and Clark,4A,2015,4x100,1,48.53,
Liberty Bell,2B,2015,1600m,1,278.25,
Liberty Bell,2B,2015,3200m,2,604.74,
Liberty Bell,2B,2015,4x100,1,45.07,
Liberty-Issaquah,2A,2015,100m,1,12.53,
Liberty-Issaquah,2A,2015,1600m,4,262.89,285.43333333333334
Liberty-Issaquah,2A,2015,3200m,4,572.51,610.9166666666666
Liberty-Issaquah,2A,2015,4x100,1,49.42,
Liberty-Issaquah,2A,2015,4x400,1,248.76,
Life Chr.,2B,2015,1600m,1,286.1,
Lind-Ritzville,2B,2015,100m,3,11.68,12.703333333333333
Lind-Ritzville,2B,2015,1600m,1,309.63,
Lind-Ritzville,2B,2015,200m,2,23.57,
Lind-Ritzville,2B,2015,3200m,1,664.63,
Lind-Ritzville,2B,2015,4x100,1,51.31,
Lind-Ritzville,2B,2015,4x400,1,255.38,
Lind-Ritzville,2B,2015,800m,2,142.3,
Lindbergh,2A,2015,100m,1,11.21,
Lindbergh,2A,2015,200m,1,21.86,
Lindbergh,2A,2015,3200m,1,711.97,
Lummi,1B,2015,1600m,1,10.0,
Lummi,1B,2015,200m,1,23.7,
Lummi,1B,2015,3200m,1,639.67,
Lummi,1B,2015,800m,1,120.95,
Lyle/Wishram,1B,2015,100m,1,12.09,
Lyle/Wishram,1B,2015,200m,1,24.42,
Lyle/Wishram,1B,2015,4x100,2,46.52,
Lyle/Wishram,1B,2015,4x400,1,222.01,
Lynden,2A,2015,1600m,1,315.52,
Lynden,2A,2015,3200m,1,675.03,
Lynden,2A,2015,4x400,2,203.17000000000002,
Lynden Christian,1A,2015,100m,1,12.9,
Lynden Christian,1A,2015,4x100,1,10.0,
Lynden Christian,1A,2015,4x400,1,243.45,
Lynnwood,3A,2015,1600m,2,295.65999999999997,
Lynnwood,3A,2015,200m,1,25.42,
Lynnwood,3A,2015,3200m,1,640.03,
Lynnwood,3A,2015,4x400,1,236.4,
Lynnwood,3A,2015,800m,1,134.02,
Manson,2B,2015,3200m,1,896.54,
Manson,2B,2015,4x100,1,53.04,
Mark Morris,2A,2015,1600m,2,270.55,
Mark Morris,2A,2015,3200m,2,621.86,
Marysville Getchell,3A,2015,4x400,1,203.05,
Marysville Getchell,3A,2015,800m,1,115.03,
Mead,4A,2015,3200m,1,571.99,
Medical Lake,1A,2015,100m,3,11.36,12.020000000000001
Medical Lake,1A,2015,1600m,1,262.6,
Medical Lake,1A,2015,200m,2,22.45,
Medical Lake,1A,2015,3200m,1,603.01,
Medical Lake,1A,2015,4x100,1,43.28,
Medical Lake,1A,2015,800m,1,116.03,
Mercer Island,3A,2015,100m,1,12.49,
Mercer Island,3A,2015,200m,1,25.55,
Mercer Island,3A,2015,3200m,1,692.12,
Mercer Island,3A,2015,800m,1,114.58,
Meridian,1A,2015,1600m,1,269.49,
Meridian,1A,2015,200m,1,23.19,
Meridian,1A,2015,3200m,1,593.23,
Meridian,1A,2015,4x400,1,247.84,
Montesano,1A,2015,1600m,1,340.86,
Montesano,1A,2015,3200m,1,749.68,
Morton-White Pass,2B,2015,200m,1,24.1,
Morton-White Pass,2B,2015,800m,1,143.0,
Moses Lake,4A,2015,100m,1,12.71,
Moses Lake,4A,2015,200m,1,25.66,
Moses Lake,4A,2015,4x400,1,239.19,
Mossyrock,2B,2015,1600m,1,328.46,
Mossyrock,2B,2015,3200m,1,739.4,
Mossyrock,2B,2015,4x400,1,212.35,
Mount Baker,1A,2015,800m,2,116.61,
Mount Rainier Lutheran,1B,2015,4x100,1,8.0,
Mount Rainier Lutheran,1B,2015,4x400,2,216.06,
Mount Vernon Christian,1B,2015,4x100,2,45.42,
Mount Vernon Christian,1B,2015,4x400,1,214.8,
Mountlake Terrace,3A,2015,800m,1,135.65,
Mt Si,4A,2015,1600m,2,308.23,
Mt Si,4A,2015,200m,1,25.94,
Mt Si,4A,2015,3200m,1,661.66,
Mt Spokane,3A,2015,1600m,2,255.26,
Mt Spokane,3A,2015,3200m,1,540.32,
Mt Spokane,3A,2015,4x100,1,43.55,
Mt Spokane,3A,2015,4x400,1,204.98,
Mt. Rainier Luth,1B,2015,100m,2,11.51,
Mt. Rainier Luth,1B,2015,200m,2,24.43,
Mt. Rainier Luth,1B,2015,3200m,2,956.34,
Mt. Vernon Ch,1B,2015,100m,1,11.83,
Mt. Vernon Ch,1B,2015,1600m,1,352.59000000000003,
Mt. Vernon Ch,1B,2015,200m,1,23.86,
Mt. Vernon Ch,1B,2015,3200m,1,792.03,
Mt. Vernon Ch,1B,2015,800m,1,164.85,
NW Chr. (Colb.),2B,2015,1600m,1,271.04,
NW Chr. (Colb.),2B,2015,200m,1,26.95,
NW Chr. (Colb.),2B,2015,3200m,2,604.09,
NW Chr. (Colb.),2B,2015,800m,2,118.36,
NW Chr. (Lacey),2B,2015,1600m,7,262.71,277.53
NW Chr. (Lacey),2B,2015,200m,1,27.02,
NW Chr. (Lacey),2B,2015,3200m,8,590.27,609.1466666666666
NW Chr. (Lacey),2B,2015,800m,4,121.0,124.40666666666668
Nathan Hale,3A,2015,1600m,1,257.6,
Nathan Hale,3A,2015,3200m,1,581.32,
Neah Bay,1B,2015,4x100,1,10.0,
Nooksack Valley,1A,2015,3200m,1,699.71,
North Beach,2B,2015,4x100,1,45.48,
North Central,3A,2015,1600m,1,257.18,
North Central,3A,2015,3200m,1,549.27,
North Kitsap,2A,2015,1600m,1,268.81,
North Kitsap,2A,2015,4x400,1,208.64,
North Kitsap,2A,2015,800m,1,117.66,
North Mason,2A,2015,200m,1,26.0,
North Mason,2A,2015,4x100,1,44.32,
North River,1B,2015,1600m,1,320.2,
North River,1B,2015,3200m,3,717.92,812.7066666666666
North Thurston,3A,2015,1600m,1,263.05,
North Thurston,3A,2015,3200m,1,575.47,
North Thurston,3A,2015,4x400,1,242.56,
Northwest,1A,2015,100m,1,13.16,
Northwest,1A,2015,1600m,4,266.45,298.04999999999995
Northwest,1A,2015,200m,1,26.14,
Northwest,1A,2015,3200m,3,584.48,651.3166666666666
Northwest Chr. (Colbert),2B,2015,4x100,1,46.07,
Northwest Chr. (Colbert),2B,2015,4x400,1,211.05,
Northwest Chr. (Lacey),2B,2015,4x400,2,217.99,
O'Dea,3A,2015,100m,2,11.02,
O'Dea,3A,2015,4x100,1,42.75,
O'Dea,3A,2015,4x400,1,208.16,
Oak Harbor,3A,2015,1600m,1,257.08,
Oak Harbor,3A,2015,3200m,1,551.71,
Oak Harbor,3A,2015,4x100,1,50.75,
Oak Harbor,3A,2015,800m,1,112.61,
Ocosta,2B,2015,1600m,1,375.75,
Ocosta,2B,2015,3200m,1,826.16,
Ocosta,2B,2015,4x400,1,259.01,
Odessa-Harrington,1B,2015,100m,2,11.51,
Odessa-Harrington,1B,2015,200m,2,23.3,
Okanogan,2B,2015,100m,2,11.48,
Okanogan,2B,2015,200m,1,23.56,
Okanogan,2B,2015,3200m,1,860.61,
Okanogan,2B,2015,4x100,2,44.73,
Okanogan,2B,2015,4x400,1,256.18,
Olympic,2A,2015,100m,1,12.88,
Olympic,2A,2015,4x100,2,44.51,
Onalaska,2B,2015,100m,1,11.88,
Onalaska,2B,2015,1600m,1,285.23,
Onalaska,2B,2015,3200m,1,772.12,
Pasco,4A,2015,100m,1,10.96,
Pasco,4A,2015,200m,1,22.08,
Pe Ell,2B,2015,200m,1,23.5,
Peninsula,3A,2015,100m,1,12.52,
Peninsula,3A,2015,1600m,1,331.62,
Peninsula,3A,2015,3200m,1,581.64,
Pomeroy,1B,2015,4x100,1,54.9,
Port Angeles,2A,2015,1600m,2,264.06,
Port Angeles,2A,2015,3200m,2,575.53,
Port Townsend,1A,2015,1600m,2,271.51,
